6.1,1,8,7,103054,101,36500,3,30
6.1,1,8,7,130311,121,7455,3,5
6.2,1,8,7,127870,37,17500,1,5
6.6,1,8,8,899,4,171,1,9
8.0,1,11,7,145600,36,32749,1,23781
8.0,1,11,7,161000,56,51623,1,16668
8.0,1,10,7,513579,412,133800,1,11375
8.0,1,10,7,412000,499,102200,1,6122
8.0,1,10,7,250000,78,64760,1,4821
8.0,1,9,7,510000,363,103953,1,3295
8.0,1,9,7,597000,504,69949,1,3231
8.0,1,9,7,187000,32,74140,1,5661
8.0,1,9,7,597000,555,644000,1,991
8.0,1,8,7,870000,320,200000,1,437
8.0,1,8,6,312807,217,16517,1,25
