6.1,1,8,7,103054,101,36500,3,359
6.1,1,8,7,130311,121,7455,3,145
6.2,1,8,7,127870,37,17500,1,208
6.6,1,8,8,899,4,171,1,19
8.0,1,11,7,145600,36,32749,1,34583
8.0,1,11,7,161000,56,51623,1,26916
8.0,1,10,7,51983579,412,133800,1,37208
8.0,1,10,7,412000,499,102200,1,33075
8.0,1,10,7,250000,78,64760,1,15789
8.0,1,9,7,510000,363,103953,1,88623
8.0,1,9,7,597000,504,69949,1,10560
8.0,1,9,7,187000,32,74140,1,32191
8.0,1,9,7,597000,555,644000,1,5775
8.0,1,8,7,870000,320,200000,1,19278
8.0,1,8,6,312807,217,16517,1,2489
8.0,1,8,6,450000,556,112987,1,482
8.0,1,8,7,79982,14,12888,1,452
7.6,2,9,7,430944,49,81161,3,3585
8.0,1,8,6,203000,546,24596,1,307
8.0,1,8,6,1427000,553,88401,1,887
8.0,1,8,6,258975,366,164917,1,1936
7.6,2,9,7,160278,42,31253,3,254
8.0,1,8,7,516000,389,8142,1,417
8.0,1,8,6,40000,105,22700,1,1078
8.0,1,8,7,61984,16,8517,1,109
8.0,1,8,7,321600,614,15020,1,8775
7.6,2,8,6,119833,49,21783,3,713
